iter	Passed	Remaining
0	0	783
1	1	703
2	1	656
3	2	647
4	3	638
5	3	650
6	4	646
7	5	656
8	6	724
9	7	705
10	7	702
11	8	694
12	9	688
13	9	693
14	10	686
15	11	679
16	11	676
17	12	690
18	13	685
19	13	680
20	14	674
21	15	669
22	15	664
23	16	661
24	16	655
25	17	652
26	17	648
27	18	647
28	19	646
29	20	653
30	20	651
31	21	648
32	22	644
33	22	642
34	23	639
35	23	639
36	24	640
37	25	638
38	25	635
39	26	633
40	27	632
41	27	634
42	28	632
43	29	631
44	29	629
45	30	628
46	30	626
47	31	624
48	32	621
49	32	620
50	33	618
51	33	618
52	34	618
53	36	632
54	36	631
55	37	630
56	38	628
57	38	629
58	39	627
59	39	626
60	40	623
61	41	623
62	41	622
63	42	620
64	43	619
65	43	617
66	44	615
67	44	614
68	45	612
69	45	610
70	46	608
71	47	607
72	47	605
73	48	604
74	50	618
75	50	618
76	51	616
77	52	615
78	52	613
79	53	613
80	53	612
81	54	610
82	55	609
83	55	608
84	56	607
85	56	605
86	57	604
87	58	601
88	58	599
89	59	597
90	59	595
91	60	594
92	60	592
93	61	591
94	61	588
95	62	586
96	62	584
97	63	582
98	64	582
99	64	582
100	65	580
101	65	578
102	66	577
103	66	577
104	67	576
105	68	575
106	68	574
107	69	572
108	69	571
109	70	569
110	70	568
111	71	566
112	72	565
113	72	564
114	73	563
115	73	562
116	74	562
117	75	560
118	75	559
119	76	559
120	76	556
121	77	555
122	77	554
123	78	555
124	79	555
125	80	555
126	80	554
127	81	553
128	81	553
129	82	552
130	83	551
131	83	551
132	84	552
133	85	551
134	86	552
135	86	551
136	87	551
137	88	550
138	88	549
139	89	549
140	89	548
141	90	547
142	91	546
143	91	545
144	92	546
145	93	546
146	95	551
147	96	553
148	97	555
149	98	555
150	98	555
151	99	555
152	100	555
153	100	554
154	101	553
155	102	552
156	102	552
157	103	551
158	104	551
159	104	550
160	105	549
161	106	549
162	106	549
163	107	548
164	108	547
165	108	547
166	109	547
167	110	546
168	111	546
169	111	545
170	113	549
171	114	549
172	114	548
173	115	548
174	116	547
175	116	546
176	117	545
177	117	544
178	118	543
179	119	542
180	119	541
181	120	540
182	120	540
183	121	539
184	122	538
185	122	537
186	124	541
187	125	541
188	126	541
189	126	541
190	127	540
191	128	539
192	128	539
193	129	538
194	130	537
195	130	536
196	131	535
197	131	534
198	132	533
199	133	532
200	133	531
201	134	530
202	134	529
203	135	528
204	136	527
205	136	526
206	137	525
207	137	524
208	139	528
209	140	527
210	140	526
211	141	525
212	142	524
213	142	523
214	143	523
215	143	522
216	144	521
217	145	520
218	145	519
219	146	518
220	147	518
221	147	517
222	148	516
223	149	516
224	149	515
225	150	514
226	150	514
227	151	513
228	152	513
229	153	512
230	154	512
231	154	512
232	155	511
233	156	511
234	156	510
235	157	509
236	158	509
237	158	508
238	159	508
239	160	508
240	161	507
241	161	506
242	162	505
243	162	504
244	163	503
245	164	503
246	164	502
247	165	501
248	165	500
249	166	499
250	166	498
251	167	497
252	168	496
253	170	500
254	171	500
255	171	499
256	172	499
257	173	498
258	174	498
259	174	497
260	175	496
261	176	496
262	177	496
263	177	495
264	178	494
265	178	493
266	179	492
267	179	491
268	180	490
269	180	489
270	181	488
271	182	487
272	182	486
273	183	485
274	184	485
275	184	484
276	185	483
277	185	482
278	186	481
279	186	480
280	187	479
281	187	478
282	188	477
283	189	477
284	189	476
285	190	475
286	190	474
287	191	473
288	192	472
289	192	471
290	193	470
291	193	470
292	194	469
293	195	468
294	195	467
295	196	466
296	196	466
297	197	465
298	198	464
299	198	463
300	199	463
301	200	462
302	200	461
303	201	460
304	201	459
305	202	459
306	203	458
307	203	457
308	204	456
309	204	455
310	205	455
311	206	454
312	206	453
313	207	452
314	207	451
315	208	450
316	208	449
317	209	448
318	209	447
319	210	446
320	210	445
321	211	444
322	211	443
323	212	442
324	212	441
325	213	441
326	213	440
327	214	439
328	215	438
329	215	437
330	216	436
331	216	435
332	217	435
333	217	434
334	218	433
335	218	432
336	219	431
337	219	430
338	220	429
339	220	428
340	221	427
341	221	426
342	222	425
343	222	424
344	223	423
345	223	422
346	224	422
347	224	421
348	225	420
349	225	419
350	226	418
351	226	417
352	227	416
353	227	415
354	228	415
355	229	414
356	229	413
357	230	412
358	230	411
359	231	410
360	231	409
361	232	409
362	232	408
363	233	407
364	233	406
365	234	405
366	234	404
367	235	403
368	235	402
369	236	401
370	236	401
371	237	400
372	237	399
373	238	398
374	238	397
375	239	396
376	239	395
377	240	395
378	240	394
379	241	393
380	241	392
381	242	391
382	242	390
383	243	390
384	243	389
385	244	388
386	244	387
387	245	387
388	246	386
389	246	385
390	247	385
391	247	384
392	248	383
393	248	382
394	249	382
395	249	381
396	250	380
397	250	379
398	251	378
399	251	377
400	252	377
401	253	376
402	253	375
403	253	374
404	254	373
405	254	373
406	255	372
407	255	371
408	256	370
409	256	369
410	257	368
411	257	368
412	258	367
413	259	366
414	259	366
415	260	365
416	260	364
417	261	363
418	261	362
419	262	362
420	262	361
421	263	360
422	263	359
423	264	358
424	264	358
425	265	357
426	265	356
427	266	355
428	266	355
429	267	354
430	267	353
431	268	352
432	268	351
433	269	351
434	269	350
435	270	349
436	270	348
437	271	347
438	271	347
439	272	346
440	272	345
441	273	345
442	273	344
443	274	343
444	275	342
445	275	342
446	276	341
447	276	340
448	277	340
449	277	339
450	278	338
451	278	337
452	279	337
453	279	336
454	280	335
455	281	335
456	281	334
457	282	333
458	282	333
459	283	332
460	283	331
461	284	330
462	284	330
463	285	329
464	285	328
465	286	327
466	286	327
467	287	326
468	287	325
469	288	325
470	288	324
471	289	323
472	289	323
473	290	322
474	291	321
475	291	320
476	292	320
477	292	319
478	293	318
479	293	318
480	294	317
481	294	316
482	295	316
483	295	315
484	296	314
485	296	314
486	297	313
487	298	312
488	298	312
489	299	311
490	300	311
491	300	310
492	301	309
493	301	308
494	302	308
495	302	307
496	303	307
497	304	306
498	304	305
499	305	305
500	305	304
501	306	303
502	306	303
503	307	302
504	307	301
505	308	301
506	308	300
507	309	299
508	309	299
509	310	298
510	310	297
511	311	296
512	312	296
513	312	295
514	313	294
515	313	294
516	314	293
517	314	292
518	315	291
519	315	291
520	316	290
521	316	289
522	317	289
523	317	288
524	318	288
525	318	287
526	319	286
527	320	286
528	320	285
529	321	284
530	321	284
531	322	283
532	322	282
533	323	282
534	323	281
535	324	280
536	324	280
537	325	279
538	325	278
539	326	277
540	326	277
541	327	276
542	327	275
543	328	275
544	328	274
545	329	273
546	329	273
547	330	272
548	330	271
549	331	271
550	331	270
551	332	269
552	333	269
553	333	268
554	334	267
555	334	267
556	335	266
557	335	266
558	336	265
559	337	264
560	337	264
561	338	263
562	338	262
563	339	262
564	339	261
565	340	261
566	341	260
567	341	259
568	342	259
569	342	258
570	343	257
571	343	257
572	344	256
573	344	256
574	345	255
575	345	254
576	346	254
577	347	253
578	347	252
579	348	252
580	348	251
581	349	251
582	350	250
583	350	249
584	351	249
585	351	248
586	352	248
587	353	247
588	353	246
589	354	246
590	354	245
591	355	244
592	355	244
593	356	243
594	356	242
595	357	242
596	357	241
597	358	241
598	359	240
599	359	239
600	360	239
601	360	238
602	360	237
603	361	237
604	362	236
605	362	235
606	363	235
607	363	234
608	364	233
609	364	233
610	365	232
611	366	232
612	366	231
613	367	230
614	367	230
615	368	229
616	368	228
617	369	228
618	369	227
619	370	226
620	370	226
621	371	225
622	371	224
623	372	224
624	372	223
625	373	222
626	373	222
627	374	221
628	374	220
629	375	220
630	375	219
631	376	219
632	376	218
633	377	217
634	378	217
635	378	216
636	379	216
637	379	215
638	380	214
639	380	214
640	381	213
641	381	212
642	382	212
643	382	211
644	383	210
645	383	210
646	384	209
647	384	208
648	385	208
649	385	207
650	386	207
651	386	206
652	387	205
653	387	205
654	388	204
655	388	203
656	389	203
657	389	202
658	390	201
659	390	201
660	391	200
661	392	200
662	393	199
663	393	199
664	394	198
665	394	197
666	395	197
667	395	196
668	396	196
669	397	195
670	397	195
671	398	194
672	398	193
673	399	193
674	399	192
675	400	191
676	400	191
677	401	190
678	401	189
679	402	189
680	402	188
681	403	188
682	403	187
683	404	186
684	404	186
685	405	185
686	405	184
687	406	184
688	407	183
689	407	183
690	408	182
691	409	182
692	409	181
693	410	180
694	410	180
695	411	179
696	411	178
697	412	178
698	412	177
699	413	177
700	413	176
701	414	175
702	414	175
703	415	174
704	415	173
705	416	173
706	416	172
707	417	172
708	417	171
709	418	170
710	418	170
711	419	169
712	419	168
713	420	168
714	420	167
715	421	167
716	422	166
717	422	166
718	423	165
719	423	164
720	424	164
721	424	163
722	425	163
723	426	162
724	426	161
725	427	161
726	427	160
727	427	159
728	428	159
729	428	158
730	429	158
731	430	157
732	430	156
733	431	156
734	431	155
735	432	155
736	432	154
737	433	153
738	433	153
739	434	152
740	434	151
741	435	151
742	435	150
743	436	150
744	437	149
745	437	149
746	438	148
747	438	147
748	439	147
749	439	146
750	440	146
751	440	145
752	441	144
753	441	144
754	442	143
755	442	142
756	443	142
757	443	141
758	444	141
759	444	140
760	445	139
761	445	139
762	446	138
763	446	138
764	447	137
765	447	136
766	448	136
767	448	135
768	449	134
769	449	134
770	450	133
771	450	133
772	451	132
773	452	132
774	452	131
775	453	130
776	454	130
777	454	129
778	455	129
779	455	128
780	456	127
781	456	127
782	457	126
783	457	126
784	458	125
785	458	124
786	459	124
787	459	123
788	460	123
789	460	122
790	461	121
791	461	121
792	462	120
793	462	120
794	463	119
795	463	118
796	464	118
797	464	117
798	465	117
799	465	116
800	466	115
801	467	115
802	467	114
803	468	114
804	468	113
805	469	113
806	470	112
807	470	111
808	471	111
809	471	110
810	472	110
811	472	109
812	473	108
813	473	108
814	474	107
815	474	107
816	475	106
817	476	105
818	476	105
819	477	104
820	477	104
821	478	103
822	478	102
823	479	102
824	480	101
825	480	101
826	481	100
827	481	100
828	482	99
829	482	98
830	484	98
831	484	97
832	485	97
833	485	96
834	486	96
835	486	95
836	487	94
837	488	94
838	488	93
839	489	93
840	489	92
841	490	92
842	491	91
843	491	90
844	492	90
845	492	89
846	493	89
847	493	88
848	494	87
849	494	87
850	495	86
851	495	86
852	496	85
853	497	85
854	498	84
855	498	83
856	499	83
857	499	82
858	500	82
859	500	81
860	501	80
861	502	80
862	502	79
863	503	79
864	503	78
865	504	78
866	504	77
867	505	76
868	505	76
869	506	75
870	507	75
871	507	74
872	508	73
873	508	73
874	509	72
875	509	72
876	510	71
877	511	71
878	511	70
879	512	69
880	512	69
881	513	68
882	513	68
883	514	67
884	514	66
885	515	66
886	515	65
887	516	65
888	517	64
889	517	63
890	518	63
891	518	62
892	519	62
893	519	61
894	520	61
895	520	60
896	521	59
897	522	59
898	522	58
899	523	58
900	523	57
901	524	56
902	524	56
903	525	55
904	525	55
905	526	54
906	527	54
907	527	53
908	528	52
909	529	52
910	529	51
911	530	51
912	530	50
913	531	49
914	531	49
915	532	48
916	533	48
917	533	47
918	534	47
919	534	46
920	535	45
921	535	45
922	536	44
923	537	44
924	537	43
925	538	43
926	538	42
927	539	41
928	539	41
929	540	40
930	541	40
931	541	39
932	542	38
933	542	38
934	543	37
935	543	37
936	544	36
937	544	36
938	545	35
939	546	34
940	546	34
941	547	33
942	548	33
943	548	32
944	549	31
945	549	31
946	550	30
947	550	30
948	551	29
949	551	29
950	552	28
951	552	27
952	553	27
953	553	26
954	554	26
955	554	25
956	555	24
957	556	24
958	556	23
959	557	23
960	557	22
961	558	22
962	559	21
963	559	20
964	560	20
965	560	19
966	561	19
967	561	18
968	562	17
969	562	17
970	563	16
971	563	16
972	564	15
973	564	15
974	565	14
975	565	13
976	566	13
977	567	12
978	567	12
979	568	11
980	568	11
981	569	10
982	569	9
983	570	9
984	571	8
985	571	8
986	572	7
987	572	6
988	573	6
989	574	5
990	574	5
991	575	4
992	575	4
993	576	3
994	576	2
995	577	2
996	578	1
997	578	1
998	579	0
999	579	0
